Région;Ancienne région;Grande catégorie de mesures;Catégorie / détail AG;﻿Année;Code région;Code ancienne région;Code grande catégorie de mesures;Code catégorie détail AG;Montant des exonérations
Guadeloupe;Guadeloupe;1_Allégements généraux;11_Réduction générale sur les bas salaires;2004;01;01;1;11;10434841.0
Guadeloupe;Guadeloupe;1_Allégements généraux;11_Réduction générale sur les bas salaires;2009;01;01;1;11;20155304.0
Guadeloupe;Guadeloupe;1_Allégements généraux;11_Réduction générale sur les bas salaires;2011;01;01;1;11;21411195.0
Guadeloupe;Guadeloupe;1_Allégements généraux;11_Réduction générale sur les bas salaires;2012;01;01;1;11;22477508.0
Guadeloupe;Guadeloupe;1_Allégements généraux;11_Réduction générale sur les bas salaires;2014;01;01;1;11;21126957.0
Guadeloupe;Guadeloupe;1_Allégements généraux;11_Réduction générale sur les bas salaires;2017;01;01;1;11;24990528.0
Guadeloupe;Guadeloupe;1_Allégements généraux;11_Réduction générale sur les bas salaires;2018;01;01;1;11;26444966.0
Guadeloupe;Guadeloupe;1_Allégements généraux;12_Aide à la RTT;2006;01;01;1;12;31973.0
Guadeloupe;Guadeloupe;1_Allégements généraux;13_Exonération Heures supplémentaires;2007;01;01;1;13;1237659.0
Guadeloupe;Guadeloupe;1_Allégements généraux;13_Exonération Heures supplémentaires;2008;01;01;1;13;6496396.0
Guadeloupe;Guadeloupe;1_Allégements généraux;13_Exonération Heures supplémentaires;2010;01;01;1;13;6874232.0
Guadeloupe;Guadeloupe;1_Allégements généraux;13_Exonération Heures supplémentaires;2019;01;01;1;13;6103186.0
Guadeloupe;Guadeloupe;1_Allégements généraux;13_Exonération Heures supplémentaires;2023;01;01;1;13;9004662.0
Guadeloupe;Guadeloupe;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2013;01;01;1;14;69685770.135
Guadeloupe;Guadeloupe;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2015;01;01;1;14;82116717.285
Guadeloupe;Guadeloupe;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2017;01;01;1;14;108271417.23
Guadeloupe;Guadeloupe;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2018;01;01;1;14;562.38
Guadeloupe;Guadeloupe;1_Allégements généraux;15_Réduction des cotisations famille;2015;01;01;1;15;13542347.114
Guadeloupe;Guadeloupe;1_Allégements généraux;15_Réduction des cotisations famille;2019;01;01;1;15;32771638.664
Guadeloupe;Guadeloupe;1_Allégements généraux;16_Réduction des cotisations maladie;2023;01;01;1;16;116803214.53
Guadeloupe;Guadeloupe;1_Allégements généraux;19_Autres allégements généraux;2010;01;01;1;19;41655.0
Guadeloupe;Guadeloupe;1_Allégements généraux;19_Autres allégements généraux;2016;01;01;1;19;25122.0
Guadeloupe;Guadeloupe;1_Allégements généraux;19_Autres allégements généraux;2017;01;01;1;19;32316.0
Guadeloupe;Guadeloupe;1_Allégements généraux;19_Autres allégements généraux;2022;01;01;1;19;47735.0
Guadeloupe;Guadeloupe;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2004;01;01;2;20;11949523.0
Guadeloupe;Guadeloupe;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2010;01;01;2;20;15199457.0
Guadeloupe;Guadeloupe;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2012;01;01;2;20;11259517.0
Guadeloupe;Guadeloupe;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2013;01;01;2;20;10399030.0
Guadeloupe;Guadeloupe;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2018;01;01;2;20;5126532.0
Guadeloupe;Guadeloupe;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2021;01;01;2;20;1780956.0
Guadeloupe;Guadeloupe;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2022;01;01;2;20;2406843.0
Guadeloupe;Guadeloupe;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2023;01;01;2;20;2842182.0
Guadeloupe;Guadeloupe;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2005;01;01;3;30;186584304.0
Guadeloupe;Guadeloupe;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2006;01;01;3;30;199979494.0
Guadeloupe;Guadeloupe;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2009;01;01;3;30;200779890.0
Guadeloupe;Guadeloupe;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2012;01;01;3;30;200056261.0
Guadeloupe;Guadeloupe;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2019;01;01;3;30;182225295.0
Guadeloupe;Guadeloupe;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2023;01;01;3;30;239076875.0
Guadeloupe;Guadeloupe;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2005;01;01;4;40;3827345.0
Guadeloupe;Guadeloupe;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2011;01;01;4;40;5005319.0
Guadeloupe;Guadeloupe;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2013;01;01;4;40;5761816.0
Guadeloupe;Guadeloupe;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2014;01;01;4;40;5457325.0
Guadeloupe;Guadeloupe;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2021;01;01;4;40;4130644.0
Guadeloupe;Guadeloupe;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2022;01;01;4;40;4299489.0
Guadeloupe;Guadeloupe;9_Autres mesures;90_Autres mesures;2020;01;01;9;90;4608708.0
Guadeloupe;Guadeloupe;9_Autres mesures;90_Autres mesures;2022;01;01;9;90;49237.0
Martinique;Martinique;1_Allégements généraux;11_Réduction générale sur les bas salaires;2004;02;02;1;11;12773290.0
Martinique;Martinique;1_Allégements généraux;11_Réduction générale sur les bas salaires;2005;02;02;1;11;17442801.0
Martinique;Martinique;1_Allégements généraux;11_Réduction générale sur les bas salaires;2006;02;02;1;11;25849541.0
Martinique;Martinique;1_Allégements généraux;11_Réduction générale sur les bas salaires;2009;02;02;1;11;29418850.0
Martinique;Martinique;1_Allégements généraux;11_Réduction générale sur les bas salaires;2012;02;02;1;11;32389691.0
Martinique;Martinique;1_Allégements généraux;11_Réduction générale sur les bas salaires;2015;02;02;1;11;31998902.0
Martinique;Martinique;1_Allégements généraux;11_Réduction générale sur les bas salaires;2016;02;02;1;11;32366439.0
Martinique;Martinique;1_Allégements généraux;11_Réduction générale sur les bas salaires;2018;02;02;1;11;35978311.0
Martinique;Martinique;1_Allégements généraux;11_Réduction générale sur les bas salaires;2021;02;02;1;11;54967303.91
Martinique;Martinique;1_Allégements généraux;12_Aide à la RTT;2008;02;02;1;12;140291.0
Martinique;Martinique;1_Allégements généraux;13_Exonération Heures supplémentaires;2006;02;02;1;13;-233.0
Martinique;Martinique;1_Allégements généraux;13_Exonération Heures supplémentaires;2007;02;02;1;13;1665366.0
Martinique;Martinique;1_Allégements généraux;13_Exonération Heures supplémentaires;2014;02;02;1;13;1714603.0
Martinique;Martinique;1_Allégements généraux;13_Exonération Heures supplémentaires;2015;02;02;1;13;1655507.0
Martinique;Martinique;1_Allégements généraux;13_Exonération Heures supplémentaires;2016;02;02;1;13;1700708.0
Martinique;Martinique;1_Allégements généraux;13_Exonération Heures supplémentaires;2017;02;02;1;13;1806792.0
Martinique;Martinique;1_Allégements généraux;13_Exonération Heures supplémentaires;2018;02;02;1;13;1924965.0
Martinique;Martinique;1_Allégements généraux;13_Exonération Heures supplémentaires;2019;02;02;1;13;6904413.0
Martinique;Martinique;1_Allégements généraux;13_Exonération Heures supplémentaires;2022;02;02;1;13;9013898.0
Martinique;Martinique;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2014;02;02;1;14;86400839.1
Martinique;Martinique;1_Allégements généraux;15_Réduction des cotisations famille;2015;02;02;1;15;14289516.562
Martinique;Martinique;1_Allégements généraux;15_Réduction des cotisations famille;2016;02;02;1;15;23301809.388
Martinique;Martinique;1_Allégements généraux;15_Réduction des cotisations famille;2019;02;02;1;15;32544678.866
Martinique;Martinique;1_Allégements généraux;15_Réduction des cotisations famille;2021;02;02;1;15;33271453.744
Martinique;Martinique;1_Allégements généraux;15_Réduction des cotisations famille;2022;02;02;1;15;36772783.768
Martinique;Martinique;1_Allégements généraux;19_Autres allégements généraux;2020;02;02;1;19;32557.0
Martinique;Martinique;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2006;02;02;2;20;14115815.0
Martinique;Martinique;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2010;02;02;2;20;14133034.0
Martinique;Martinique;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2016;02;02;2;20;17507065.0
Martinique;Martinique;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2021;02;02;2;20;1985400.0
Martinique;Martinique;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2023;02;02;2;20;2930010.0
Martinique;Martinique;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2012;02;02;3;30;200187706.0
Martinique;Martinique;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2014;02;02;3;30;187766519.0
Martinique;Martinique;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2015;02;02;3;30;182345426.0
Martinique;Martinique;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2016;02;02;3;30;175619679.0
Martinique;Martinique;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2017;02;02;3;30;180463518.0
Martinique;Martinique;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2020;02;02;3;30;157933514.0
Martinique;Martinique;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2006;02;02;4;40;2439431.0
Martinique;Martinique;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2007;02;02;4;40;2463504.0
Martinique;Martinique;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2008;02;02;4;40;2506735.0
Martinique;Martinique;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2012;02;02;4;40;2994758.0
Martinique;Martinique;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2014;02;02;4;40;3031502.0
Martinique;Martinique;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2018;02;02;4;40;2321124.0
Martinique;Martinique;9_Autres mesures;90_Autres mesures;2020;02;02;9;90;4013884.0
Guyane;Guyane;1_Allégements généraux;11_Réduction générale sur les bas salaires;2004;03;03;1;11;2384499.0
Guyane;Guyane;1_Allégements généraux;11_Réduction générale sur les bas salaires;2006;03;03;1;11;6378188.0
Guyane;Guyane;1_Allégements généraux;11_Réduction générale sur les bas salaires;2009;03;03;1;11;7113539.0
Guyane;Guyane;1_Allégements généraux;11_Réduction générale sur les bas salaires;2015;03;03;1;11;8415786.0
Guyane;Guyane;1_Allégements généraux;11_Réduction générale sur les bas salaires;2017;03;03;1;11;9978405.0
Guyane;Guyane;1_Allégements généraux;11_Réduction générale sur les bas salaires;2018;03;03;1;11;11304229.0
Guyane;Guyane;1_Allégements généraux;11_Réduction générale sur les bas salaires;2019;03;03;1;11;21227992.52
Guyane;Guyane;1_Allégements généraux;11_Réduction générale sur les bas salaires;2023;03;03;1;11;30004478.477
Guyane;Guyane;1_Allégements généraux;12_Aide à la RTT;2005;03;03;1;12;1097131.0
Guyane;Guyane;1_Allégements généraux;13_Exonération Heures supplémentaires;2010;03;03;1;13;4622685.0
Guyane;Guyane;1_Allégements généraux;13_Exonération Heures supplémentaires;2011;03;03;1;13;5328184.0
Guyane;Guyane;1_Allégements généraux;13_Exonération Heures supplémentaires;2012;03;03;1;13;4240304.0
Guyane;Guyane;1_Allégements généraux;13_Exonération Heures supplémentaires;2014;03;03;1;13;839735.0
Guyane;Guyane;1_Allégements généraux;13_Exonération Heures supplémentaires;2017;03;03;1;13;830762.0
Guyane;Guyane;1_Allégements généraux;13_Exonération Heures supplémentaires;2018;03;03;1;13;1048759.0
Guyane;Guyane;1_Allégements généraux;13_Exonération Heures supplémentaires;2019;03;03;1;13;4207116.0
Guyane;Guyane;1_Allégements généraux;13_Exonération Heures supplémentaires;2022;03;03;1;13;5311116.0
Guyane;Guyane;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2014;03;03;1;14;34181776.8
Guyane;Guyane;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2016;03;03;1;14;42365392.56
Guyane;Guyane;1_Allégements généraux;15_Réduction des cotisations famille;2017;03;03;1;15;12789521.748
Guyane;Guyane;1_Allégements généraux;15_Réduction des cotisations famille;2020;03;03;1;15;14054015.4
Guyane;Guyane;1_Allégements généraux;16_Réduction des cotisations maladie;2023;03;03;1;16;55957454.26
Guyane;Guyane;1_Allégements généraux;19_Autres allégements généraux;2006;03;03;1;19;18409.0
Guyane;Guyane;1_Allégements généraux;19_Autres allégements généraux;2008;03;03;1;19;5886.0
Guyane;Guyane;1_Allégements généraux;19_Autres allégements généraux;2010;03;03;1;19;10726.0
Guyane;Guyane;1_Allégements généraux;19_Autres allégements généraux;2013;03;03;1;19;16966.0
Guyane;Guyane;1_Allégements généraux;19_Autres allégements généraux;2015;03;03;1;19;19059.0
Guyane;Guyane;1_Allégements généraux;19_Autres allégements généraux;2016;03;03;1;19;23604.0
Guyane;Guyane;1_Allégements généraux;19_Autres allégements généraux;2017;03;03;1;19;25831.0
Guyane;Guyane;1_Allégements généraux;19_Autres allégements généraux;2020;03;03;1;19;30264.0
Guyane;Guyane;1_Allégements généraux;19_Autres allégements généraux;2021;03;03;1;19;36495.0
Guyane;Guyane;1_Allégements généraux;19_Autres allégements généraux;2023;03;03;1;19;41576.0
Guyane;Guyane;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2009;03;03;2;20;2667761.0
Guyane;Guyane;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2012;03;03;2;20;3699218.0
Guyane;Guyane;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2015;03;03;2;20;4758047.0
Guyane;Guyane;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2019;03;03;2;20;622764.0
Guyane;Guyane;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2005;03;03;3;30;62221801.0
Guyane;Guyane;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2006;03;03;3;30;68105028.0
Guyane;Guyane;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2008;03;03;3;30;75706688.0
Guyane;Guyane;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2011;03;03;3;30;85025761.0
Guyane;Guyane;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2012;03;03;3;30;91297801.0
Guyane;Guyane;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2015;03;03;3;30;91809556.0
Guyane;Guyane;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2019;03;03;3;30;90318002.0
Guyane;Guyane;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2020;03;03;3;30;83930225.0
Guyane;Guyane;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2013;03;03;4;40;206689.0
Guyane;Guyane;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2018;03;03;4;40;315991.0
Guyane;Guyane;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2021;03;03;4;40;544193.0
Guyane;Guyane;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2022;03;03;4;40;591065.0
Guyane;Guyane;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2023;03;03;4;40;976457.0
Guyane;Guyane;9_Autres mesures;90_Autres mesures;2020;03;03;9;90;2004207.0
Guyane;Guyane;9_Autres mesures;90_Autres mesures;2021;03;03;9;90;252781.0
Guyane;Guyane;9_Autres mesures;90_Autres mesures;2022;03;03;9;90;4114.0
La Réunion;La Réunion;1_Allégements généraux;11_Réduction générale sur les bas salaires;2004;04;04;1;11;19279552.0
La Réunion;La Réunion;1_Allégements généraux;11_Réduction générale sur les bas salaires;2007;04;04;1;11;60308970.0
La Réunion;La Réunion;1_Allégements généraux;11_Réduction générale sur les bas salaires;2008;04;04;1;11;66568469.0
La Réunion;La Réunion;1_Allégements généraux;11_Réduction générale sur les bas salaires;2013;04;04;1;11;70254135.0
La Réunion;La Réunion;1_Allégements généraux;11_Réduction générale sur les bas salaires;2015;04;04;1;11;76453374.0
La Réunion;La Réunion;1_Allégements généraux;11_Réduction générale sur les bas salaires;2018;04;04;1;11;99805963.0
La Réunion;La Réunion;1_Allégements généraux;11_Réduction générale sur les bas salaires;2019;04;04;1;11;145281550.17
La Réunion;La Réunion;1_Allégements généraux;11_Réduction générale sur les bas salaires;2020;04;04;1;11;141084664.34
La Réunion;La Réunion;1_Allégements généraux;11_Réduction générale sur les bas salaires;2021;04;04;1;11;171836455.24
La Réunion;La Réunion;1_Allégements généraux;12_Aide à la RTT;2004;04;04;1;12;29264107.0
La Réunion;La Réunion;1_Allégements généraux;12_Aide à la RTT;2011;04;04;1;12;42.0
La Réunion;La Réunion;1_Allégements généraux;13_Exonération Heures supplémentaires;2009;04;04;1;13;20937590.0
La Réunion;La Réunion;1_Allégements généraux;13_Exonération Heures supplémentaires;2014;04;04;1;13;4344737.0
La Réunion;La Réunion;1_Allégements généraux;13_Exonération Heures supplémentaires;2019;04;04;1;13;16781176.0
La Réunion;La Réunion;1_Allégements généraux;13_Exonération Heures supplémentaires;2020;04;04;1;13;15673120.0
La Réunion;La Réunion;1_Allégements généraux;13_Exonération Heures supplémentaires;2021;04;04;1;13;18389024.0
La Réunion;La Réunion;1_Allégements généraux;13_Exonération Heures supplémentaires;2022;04;04;1;13;21677648.0
La Réunion;La Réunion;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2014;04;04;1;14;178650851.25
La Réunion;La Réunion;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2018;04;04;1;14;2765.76
La Réunion;La Réunion;1_Allégements généraux;15_Réduction des cotisations famille;2019;04;04;1;15;66807340.564
La Réunion;La Réunion;1_Allégements généraux;15_Réduction des cotisations famille;2022;04;04;1;15;77679781.644
La Réunion;La Réunion;1_Allégements généraux;15_Réduction des cotisations famille;2023;04;04;1;15;83859064.09
La Réunion;La Réunion;1_Allégements généraux;16_Réduction des cotisations maladie;2022;04;04;1;16;230228120.98
La Réunion;La Réunion;1_Allégements généraux;16_Réduction des cotisations maladie;2023;04;04;1;16;249860695.31
La Réunion;La Réunion;1_Allégements généraux;19_Autres allégements généraux;2008;04;04;1;19;465.0
La Réunion;La Réunion;1_Allégements généraux;19_Autres allégements généraux;2009;04;04;1;19;11440.0
La Réunion;La Réunion;1_Allégements généraux;19_Autres allégements généraux;2012;04;04;1;19;15076.0
La Réunion;La Réunion;1_Allégements généraux;19_Autres allégements généraux;2015;04;04;1;19;38016.0
La Réunion;La Réunion;1_Allégements généraux;19_Autres allégements généraux;2020;04;04;1;19;142041.0
La Réunion;La Réunion;1_Allégements généraux;19_Autres allégements généraux;2022;04;04;1;19;169649.0
La Réunion;La Réunion;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2008;04;04;2;20;35417362.0
La Réunion;La Réunion;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2010;04;04;2;20;31299707.0
La Réunion;La Réunion;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2011;04;04;2;20;34944209.0
La Réunion;La Réunion;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2012;04;04;2;20;39277464.0
La Réunion;La Réunion;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2013;04;04;2;20;40197641.0
La Réunion;La Réunion;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2016;04;04;2;20;48028027.0
La Réunion;La Réunion;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2017;04;04;2;20;34578160.0
La Réunion;La Réunion;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2019;04;04;2;20;2802407.0
La Réunion;La Réunion;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2020;04;04;2;20;3266128.0
La Réunion;La Réunion;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2022;04;04;2;20;9612138.0
La Réunion;La Réunion;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2005;04;04;3;30;304984789.0
La Réunion;La Réunion;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2013;04;04;3;30;365786459.0
La Réunion;La Réunion;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2014;04;04;3;30;357281306.0
La Réunion;La Réunion;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2018;04;04;3;30;375486101.0
La Réunion;La Réunion;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2019;04;04;3;30;366345033.0
La Réunion;La Réunion;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2004;04;04;4;40;2311313.0
La Réunion;La Réunion;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2007;04;04;4;40;4821838.0
La Réunion;La Réunion;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2011;04;04;4;40;3257016.0
La Réunion;La Réunion;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2012;04;04;4;40;3933558.0
La Réunion;La Réunion;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2015;04;04;4;40;5300862.0
La Réunion;La Réunion;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2016;04;04;4;40;5549392.0
La Réunion;La Réunion;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2017;04;04;4;40;6349921.0
La Réunion;La Réunion;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2018;04;04;4;40;6869713.0
La Réunion;La Réunion;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2021;04;04;4;40;6411719.0
La Réunion;La Réunion;9_Autres mesures;90_Autres mesures;2022;04;04;9;90;119225.0
Île-de-France;Île-de-France;1_Allégements généraux;11_Réduction générale sur les bas salaires;2004;11;11;1;11;1232594481.0
Île-de-France;Île-de-France;1_Allégements généraux;11_Réduction générale sur les bas salaires;2005;11;11;1;11;1957142676.0
Île-de-France;Île-de-France;1_Allégements généraux;11_Réduction générale sur les bas salaires;2013;11;11;1;11;3620672792.0
Île-de-France;Île-de-France;1_Allégements généraux;11_Réduction générale sur les bas salaires;2014;11;11;1;11;3684610644.0
Île-de-France;Île-de-France;1_Allégements généraux;11_Réduction générale sur les bas salaires;2016;11;11;1;11;4023218232.0
Île-de-France;Île-de-France;1_Allégements généraux;11_Réduction générale sur les bas salaires;2019;11;11;1;11;5126341212.3
Île-de-France;Île-de-France;1_Allégements généraux;12_Aide à la RTT;2007;11;11;1;12;361456.0
Île-de-France;Île-de-France;1_Allégements généraux;12_Aide à la RTT;2010;11;11;1;12;72.0
Île-de-France;Île-de-France;1_Allégements généraux;13_Exonération Heures supplémentaires;2010;11;11;1;13;632636803.0
Île-de-France;Île-de-France;1_Allégements généraux;13_Exonération Heures supplémentaires;2012;11;11;1;13;507629119.0
Île-de-France;Île-de-France;1_Allégements généraux;13_Exonération Heures supplémentaires;2014;11;11;1;13;92660682.0
Île-de-France;Île-de-France;1_Allégements généraux;13_Exonération Heures supplémentaires;2017;11;11;1;13;96945642.0
Île-de-France;Île-de-France;1_Allégements généraux;13_Exonération Heures supplémentaires;2018;11;11;1;13;102881614.0
Île-de-France;Île-de-France;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2016;11;11;1;14;4136096696.5
Île-de-France;Île-de-France;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2017;11;11;1;14;4991118600.8
Île-de-France;Île-de-France;1_Allégements généraux;15_Réduction des cotisations famille;2019;11;11;1;15;2028960434.1
Île-de-France;Île-de-France;1_Allégements généraux;15_Réduction des cotisations famille;2022;11;11;1;15;2270594501.7
Île-de-France;Île-de-France;1_Allégements généraux;16_Réduction des cotisations maladie;2020;11;11;1;16;4379912873.0
Île-de-France;Île-de-France;1_Allégements généraux;19_Autres allégements généraux;2004;11;11;1;19;476087.0
Île-de-France;Île-de-France;1_Allégements généraux;19_Autres allégements généraux;2005;11;11;1;19;517078.0
Île-de-France;Île-de-France;1_Allégements généraux;19_Autres allégements généraux;2010;11;11;1;19;3397849.0
Île-de-France;Île-de-France;1_Allégements généraux;19_Autres allégements généraux;2013;11;11;1;19;13552292.0
Île-de-France;Île-de-France;1_Allégements généraux;19_Autres allégements généraux;2015;11;11;1;19;26690307.0
Île-de-France;Île-de-France;1_Allégements généraux;19_Autres allégements généraux;2018;11;11;1;19;36263146.0
Île-de-France;Île-de-France;1_Allégements généraux;19_Autres allégements généraux;2019;11;11;1;19;30338428.0
Île-de-France;Île-de-France;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2004;11;11;2;20;276159249.0
Île-de-France;Île-de-France;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2007;11;11;2;20;350526845.0
Île-de-France;Île-de-France;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2011;11;11;2;20;233547401.0
Île-de-France;Île-de-France;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2012;11;11;2;20;235216694.0
Île-de-France;Île-de-France;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2015;11;11;2;20;298633721.0
Île-de-France;Île-de-France;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2016;11;11;2;20;298915258.0
Île-de-France;Île-de-France;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2018;11;11;2;20;254283398.0
Île-de-France;Île-de-France;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2021;11;11;2;20;140708585.0
Île-de-France;Île-de-France;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2004;11;11;3;30;55436364.0
Île-de-France;Île-de-France;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2007;11;11;3;30;64859455.0
Île-de-France;Île-de-France;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2009;11;11;3;30;42459503.0
Île-de-France;Île-de-France;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2010;11;11;3;30;30759758.0
Île-de-France;Île-de-France;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2011;11;11;3;30;24808768.0
Île-de-France;Île-de-France;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2014;11;11;3;30;14495964.0
